Year,"Sulphur oxides
(percentage change from 1990 level)","Nitrogen oxides
(percentage change from 1990 level)","Volatile organic compounds
(percentage change from 1990 level)","Ammonia
(percentage change from 1990 level)","Carbon monoxide
(percentage change from 1990 level)","Fine particulate matter
(percentage change from 1990 level)"
1990,0,0,0,0,0,0
1991,-7,-3,-1,-1,-3,-3
1992,-11,0,0,2,-3,-5
1993,-14,4,5,3,-2,-5
1994,-21,10,7,7,-1,-4
1995,-17,14,10,14,0,-4
1996,-16,17,13,18,-2,-6
1997,-18,22,13,19,-5,-5
1998,-19,23,13,19,-7,-7
1999,-23,23,12,18,-9,-8
2000,-23,20,11,20,-11,-9
2001,-23,15,8,20,-14,-10
2002,-25,13,8,22,-16,-14
2003,-27,12,5,21,-20,-14
2004,-27,5,2,25,-26,-16
2005,-30,1,3,24,-31,-15
2006,-37,-6,-3,21,-37,-19
2007,-39,-7,-6,22,-43,-18
2008,-45,-10,-10,20,-46,-16
2009,-53,-16,-17,16,-48,-29
2010,-57,-16,-18,14,-48,-17
2011,-60,-20,-21,13,-51,-17
2012,-61,-25,-20,17,-53,-14
2013,-61,-27,-19,21,-54,-12
2014,-63,-29,-19,19,-56,-11
2015,-65,-31,-23,19,-58,-14
2016,-65,-35,-28,19,-58,-18
2017,-69,-35,-28,17,-59,-17
2018,-73,-36,-27,21,-60,-14
2019,-76,-38,-30,21,-61,-13
2020,-78,-44,-38,25,-65,-21
2021,-79,-44,-38,26,-65,-18
2022,-78,-45,-38,22,-65,-17
2023,-80,-45,-38,25,-65,-15
